,Y
018_S_2180.2,-1.02
018_S_2180.3,-2.39
073_S_2182,-1.32
073_S_2182.1,-2.13999999999999
027_S_2183,-0.409999999999997
068_S_2184,1.01000000000001
068_S_2184.1,0.620000000000005
068_S_2184.2,-0.00999999999999801
014_S_2185,0.509999999999998
014_S_2185.1,0.149999999999999
014_S_2185.2,-0.490000000000002
068_S_2187,2.38999999999999
068_S_2187.1,3.09999999999999
068_S_2187.2,1.8
068_S_2187.3,0.949999999999996
073_S_2190,0.630000000000003
073_S_2190.1,0.350000000000001
073_S_2190.2,-1.5
073_S_2190.3,-2.86
073_S_2191,0.869999999999997
073_S_2191.1,0.740000000000002
073_S_2191.2,2.16
068_S_2194,-0.119999999999997
068_S_2194.1,-0.109999999999999
067_S_2195,0.43
067_S_2195.1,-0.119999999999997
067_S_2195.2,-0.0499999999999972
067_S_2195.3,-2.58
067_S_2196,0.850000000000001
067_S_2196.1,-0.289999999999999
067_S_2196.2,-1.69
067_S_2196.3,-0.699999999999996
109_S_2200,5.3
109_S_2200.1,3.93
094_S_2201,1.14
094_S_2201.1,0.229999999999997
094_S_2201.2,-0.450000000000003
094_S_2201.3,-4.57
099_S_2205,-0.910000000000004
099_S_2205.1,-1.65
099_S_2205.2,-1.64
099_S_2205.3,-2.62
009_S_2208,0.240000000000002
009_S_2208.1,0.600000000000001
009_S_2208.2,-0.719999999999999
009_S_2208.3,0.170000000000002
141_S_2210,-0.41
141_S_2210.1,0.210000000000001
127_S_2213,-2.22
127_S_2213.1,-0.390000000000001
127_S_2213.2,-2.03
094_S_2216,1.7
094_S_2216.1,1.57
094_S_2216.2,2.55
094_S_2216.3,-0.969999999999999
027_S_2219,-1.41
027_S_2219.1,1.89
027_S_2219.2,-3.11
128_S_2220,-1.78
128_S_2220.1,-2.42
073_S_2225,0.189999999999998
073_S_2225.1,0.800000000000004
073_S_2225.2,-0.810000000000002
073_S_2225.3,0.0700000000000003
031_S_2233,-0.469999999999999
031_S_2233.1,-0.630000000000003
031_S_2233.2,-0.589999999999996
031_S_2233.3,0.140000000000001
127_S_2234,-1.31
127_S_2234.1,-0.119999999999997
127_S_2234.2,-1.91
109_S_2237,3.59
094_S_2238,-0.219999999999999
094_S_2238.1,2.32
094_S_2238.2,-4.05
024_S_2239,-0.43
024_S_2239.1,0.950000000000003
024_S_2239.2,0.0700000000000003
024_S_2239.3,0.93
024_S_2239.4,-0.00999999999999801
032_S_2240,0.340000000000003
032_S_2240.1,-0.890000000000001
032_S_2240.2,-1.01
027_S_2245,2
027_S_2245.1,1.17
027_S_2245.2,1.59
027_S_2245.3,0.530000000000001
032_S_2247,1.19
032_S_2247.1,-0.18
032_S_2247.2,1.71
068_S_2248,0.889999999999997
068_S_2248.1,-0.460000000000001
068_S_2248.2,-0.98
068_S_2248.3,-1.84
052_S_2249,-0.890000000000001
052_S_2249.1,-2.48
052_S_2249.2,0.199999999999996
022_S_2263,-1.19
022_S_2263.1,-1.78
022_S_2263.2,-1.88
022_S_2263.3,-1.43
073_S_2264,-1.1
073_S_2264.1,-2.94
073_S_2264.2,-2.23
073_S_2264.3,-2.77
011_S_2274,1.73
011_S_2274.1,-0.949999999999996
011_S_2274.2,-3.59
011_S_2274.3,-1.34999999999999
011_S_2274.4,-5.11
016_S_2284,-1.84
016_S_2284.1,-2.19
067_S_2301,-0.780000000000001
067_S_2301.1,-1.15000000000001
067_S_2301.2,-1.43
067_S_2301.3,1.48
067_S_2304,-1.65
067_S_2304.1,0.530000000000001
067_S_2304.2,1.35
067_S_2304.3,1.39
067_S_2304.4,-1.38
082_S_2307,-0.359999999999999
082_S_2307.1,0.210000000000001
082_S_2307.2,0.600000000000001
082_S_2307.3,-0.77
014_S_2308,1.76
014_S_2308.1,2.14
068_S_2315,-0.239999999999995
068_S_2315.1,-0.159999999999997
068_S_2315.2,-0.460000000000001
068_S_2316,-0.210000000000001
068_S_2316.1,-0.379999999999995
068_S_2316.2,-0.0300000000000011
013_S_2324,-1.38
013_S_2324.1,-0.00999999999999801
013_S_2324.2,-0.579999999999998
129_S_2332,-2.15
129_S_2332.1,-0.359999999999999
129_S_2332.2,0.369999999999997
141_S_2333,0.680000000000007
141_S_2333.1,-0.319999999999993
141_S_2333.2,0.810000000000002
027_S_2336,1.44
027_S_2336.1,-0.280000000000001
129_S_2347,-1.11
129_S_2347.1,-1.06
129_S_2347.2,0.370000000000005
053_S_2357,-1.27
053_S_2357.1,-0.369999999999997
053_S_2357.2,-2.44
053_S_2357.3,-4
126_S_2360,-0.700000000000003
123_S_2363,1.88
123_S_2363.1,1.44
123_S_2363.2,1.37
123_S_2363.3,1.75
094_S_2367,-0.449999999999996
094_S_2367.1,0.580000000000005
094_S_2367.2,-3.91
130_S_2373,-0.710000000000001
