method,idx,train,test
FN1,73,0.9022,0.9862
FN1,76,0.9341,0.8874
FN1,72,0.8869,1.074
FN1,74,0.9014,0.9849
FN1,80,0.9882,0.6565
FN1,79,0.9706,0.711
FN1,71,0.9432,0.8646
FN1,90,0.9201,0.9055
FN1,88,0.9116,0.9421
FN1,89,0.9406,0.8479
FN1,83,0.9083,0.9616
FN1,81,0.9096,0.9506
FN1,82,0.927,0.8788
FN1,95,0.9264,0.8886
FN1,94,0.8807,1.064
FN1,87,0.9464,0.8501
FN1,86,0.935,0.9038
FN1,84,0.9275,0.8806
FN1,97,0.9109,0.9599
FN1,100,0.9612,0.7775
FN1,96,0.926,0.9277
FN1,99,0.9292,0.8827
FN1,98,0.9161,0.9293
FN1,91,0.9288,0.9031
FN1,85,0.9183,0.9283
FN1,92,0.942,0.8312
FN1,93,0.9006,1.008
FN1,12,0.9145,0.9801
FN2,7,0.8821,1.048
FN2,5,0.9058,0.9752
FN2,4,0.886,1.034
FN2,8,0.9459,0.8448
FN2,9,0.8825,1.08
FN2,1,0.9255,0.9056
FN2,3,0.9134,0.9934
FN2,6,0.9424,0.8653
FN2,2,0.9535,0.777
FN2,31,0.9058,0.965
FN2,16,0.9495,0.8066
FN2,32,0.9025,0.9795
FN2,23,0.9616,0.7554
FN2,19,0.9112,0.9206
FN2,25,0.986,0.708
FN2,24,0.9412,0.8345
FN2,27,0.8828,1.068
FN2,28,0.8744,1.087
FN2,15,0.9216,0.8928
FN2,21,0.9874,0.7033
FN2,20,0.9046,0.9686
FN2,10,0.9411,0.8159
FN2,29,0.9139,0.9327
FN2,12,0.9134,0.9786
FN2,17,0.9328,0.8839
FN2,13,0.9472,0.8413
FN2,18,0.9647,0.7451
FN2,14,0.9141,0.924
FN2,11,0.9416,0.845
FN2,26,0.9032,0.9829
FN2,30,0.8842,1.09
FN2,22,0.9531,0.831
FN2,37,0.9406,0.8595
FN2,34,0.9162,0.9381
FN2,35,0.8893,1.076
FN2,39,0.9307,0.8766
FN2,38,0.8875,1.054
FN2,33,0.9322,0.868
FN2,36,0.9057,0.9768
FN2,89,0.9354,0.8449
FN2,65,0.9052,0.946
FN2,57,0.8468,1.188
FN2,77,0.9119,0.9502
FN2,87,0.9477,0.838
FN2,67,0.9381,0.8143
FN2,82,0.9274,0.8836
FN2,41,0.915,0.9748
FN2,81,0.9106,0.9544
FN2,66,0.8911,1.027
FN2,78,0.8955,0.9924
FN2,49,0.894,1.038
FN2,50,0.9486,0.7698
FN2,85,0.9276,0.9172
FN2,69,0.9241,0.9114
FN2,59,0.9522,0.7869
FN2,73,0.9146,0.9678
FN2,61,0.917,0.9216
FN2,46,0.9028,0.9808
FN2,74,0.9025,0.9956
FN2,58,0.9357,0.8507
FN2,71,0.9411,0.8734
FN2,53,0.8765,1.093
FN2,83,0.9087,0.9739
FN2,55,0.9657,0.7377
FN2,86,0.9347,0.8967
FN2,62,0.9374,0.8697
FN2,47,0.9091,0.9541
FN2,43,0.9041,0.9796
FN2,45,0.9156,0.9355
FN2,54,0.9152,0.9295
FN2,51,0.9593,0.7942
FN2,70,0.9332,0.8286
FN2,75,0.9066,0.9812
FN2,42,0.9326,0.8849
FN2,79,0.9759,0.6883
FN2,40,0.929,0.9075
FN2,63,0.8974,1.015
FN2,44,0.9079,1.083
FN2,84,0.9264,0.8832
FN2,72,0.8774,1.074
FN2,60,0.9327,0.8597
FN2,80,0.9839,0.6581
FN2,64,0.9301,0.8693
FN2,56,0.9306,0.8437
FN2,76,0.9308,0.8828
FN2,88,0.9129,0.9372
FN2,52,0.9186,0.9248
FN2,48,0.9194,0.9112
FN2,68,0.8869,1.049
FN2,93,0.8941,1.001
FN2,95,0.9245,0.8899
FN2,94,0.8766,1.063
FN2,90,0.9298,0.9172
FN2,92,0.9405,0.8381
FN2,91,0.9237,0.9048
FN2,100,0.9592,0.7815
FN2,97,0.9031,0.9569
FN2,98,0.9175,0.9282
FN2,99,0.9312,0.893
FN2,96,0.925,0.9259
NN1,5,0.9996,1.002
NN1,1,0.9905,0.9745
NN1,2,1.045,0.8132
NN1,3,0.9312,1.1
NN1,4,0.9212,1.086
