type,noise,method,index,train,test,mse1,mse2,cor1,cor2
vector,3,FN1,21,0.5128,0.736,1.23,1.834,0.8735,0.8072
vector,3,FN1,10,0.6115,0.6578,1.593,1.555,0.7815,0.7622
vector,3,FN1,45,0.6182,0.701,1.468,1.667,0.7355,0.7083
vector,3,FN1,42,0.7349,0.6781,1.569,1.629,0.7501,0.7867
vector,3,FN1,22,0.6352,0.7437,1.587,1.573,0.6817,0.5884
vector,3,FN1,29,0.6114,0.5348,1.439,1.614,0.8021,0.8382
vector,3,FN1,71,0.61,0.6246,1.465,1.761,0.7593,0.7181
vector,3,FN1,14,0.5641,0.7048,1.412,1.699,0.7229,0.6464
vector,3,FN1,5,0.554,0.8635,1.383,1.783,0.858,0.7856
vector,3,FN1,15,0.648,0.6807,1.55,1.734,0.826,0.8141
vector,3,FN1,27,0.6134,0.6426,1.518,1.663,0.8319,0.8308
vector,3,FN1,1,0.6093,0.6422,1.49,1.649,0.7068,0.6859
vector,3,FN1,12,0.5581,0.6531,1.356,1.764,0.9032,0.8869
vector,3,FN1,35,0.6011,0.6719,1.569,1.473,0.7141,0.6546
vector,3,FN1,38,0.5883,0.5717,1.335,1.635,0.8106,0.8164
vector,3,FN1,51,0.5358,0.8789,1.381,1.517,0.8617,0.7538
vector,3,FN1,48,0.5958,0.6744,1.406,1.716,0.8139,0.7554
vector,3,FN1,58,0.7399,0.7118,1.739,1.858,0.8248,0.8336
vector,3,FN1,44,0.5932,0.6539,1.397,1.641,0.8121,0.7791
vector,3,FN1,28,0.5461,0.6057,1.391,1.603,0.8497,0.8352
vector,3,FN1,41,0.6589,0.7687,1.551,1.978,0.7762,0.7312
vector,3,FN1,55,0.6033,0.5756,1.465,1.579,0.7222,0.7319
vector,3,FN1,65,0.5888,0.5745,1.468,1.547,0.7339,0.7424
vector,3,FN1,26,0.6311,0.6795,1.501,1.597,0.7589,0.7418
vector,3,FN1,17,0.5967,0.6567,1.381,1.607,0.7444,0.7199
vector,3,FN1,36,0.5706,0.6919,1.446,1.537,0.7499,0.6764
vector,3,FN1,23,0.5721,0.6091,1.404,1.604,0.7659,0.7265
vector,3,FN1,43,0.6128,0.6862,1.421,1.55,0.7559,0.741
vector,3,FN1,54,0.6036,0.644,1.392,1.714,0.7751,0.7634
vector,3,FN1,25,0.5954,0.7441,1.474,1.702,0.9238,0.9073
vector,3,FN1,19,0.5488,0.6612,1.318,1.568,0.8438,0.7962
vector,3,FN1,8,0.6059,0.7228,1.555,1.602,0.7369,0.6581
vector,3,FN1,52,0.5662,0.7297,1.457,1.659,0.8381,0.7922
vector,3,FN1,56,0.6006,0.7463,1.407,1.569,0.8382,0.7716
vector,3,FN1,64,0.5812,0.7393,1.417,1.78,0.7756,0.6933
vector,3,FN1,62,0.6442,0.5769,1.537,1.805,0.7421,0.7739
vector,3,FN1,50,0.5553,0.7621,1.33,1.666,0.8373,0.8045
vector,3,FN1,59,0.6081,0.6746,1.534,1.516,0.8109,0.802
vector,3,FN1,37,0.5718,0.7488,1.469,1.748,0.8421,0.799
vector,3,FN1,72,0.6371,0.7293,1.512,1.795,0.8036,0.7665
vector,3,FN1,20,0.5618,0.6911,1.313,1.819,0.8744,0.8315
vector,3,FN1,63,0.5271,0.7359,1.313,1.625,0.8323,0.7707
vector,3,FN1,31,0.571,0.652,1.402,1.606,0.8047,0.7909
vector,3,FN1,67,0.6224,0.7486,1.557,1.714,0.7831,0.7176
vector,3,FN1,90,0.6093,0.614,1.472,1.367,0.7614,0.7582
vector,3,FN1,46,0.6787,0.8266,1.68,1.812,0.8351,0.7587
vector,3,FN1,94,0.5961,0.6861,1.448,1.705,0.8022,0.732
vector,3,FN1,99,0.6291,0.599,1.517,1.61,0.872,0.8741
vector,3,FN1,60,0.5815,0.7937,1.481,1.616,0.699,0.5483
vector,3,FN1,66,0.596,0.6545,1.372,1.53,0.8715,0.8506
vector,3,FN1,70,0.5662,0.7078,1.343,1.535,0.6974,0.6126
vector,3,FN1,57,0.5356,0.8232,1.381,1.676,0.8649,0.7641
vector,3,FN1,77,0.5855,0.6801,1.369,1.682,0.8172,0.7753
vector,3,FN1,79,0.5933,0.5462,1.426,1.455,0.681,0.6987
vector,3,FN1,96,0.603,0.7448,1.513,1.689,0.8574,0.811
vector,3,FN1,76,0.5173,0.6458,1.289,1.639,0.7397,0.6578
vector,3,FN1,78,0.591,0.6884,1.403,1.518,0.7845,0.674
vector,3,FN1,61,0.5826,0.7373,1.474,1.725,0.788,0.7212
vector,3,FN1,88,0.5608,0.6348,1.312,1.669,0.7784,0.7537
vector,3,FN1,47,0.7191,0.8021,1.671,1.788,0.851,0.8286
vector,3,FN1,53,0.554,0.6821,1.369,1.554,0.7806,0.7098
vector,3,FN1,100,0.6488,0.6872,1.537,1.761,0.7306,0.7194
vector,3,FN1,16,0.5474,0.707,1.382,1.63,0.8343,0.7882
vector,3,FN1,91,0.6076,0.7091,1.482,1.746,0.7965,0.7568
vector,3,FN1,81,0.5981,0.5485,1.366,1.398,0.6955,0.7279
vector,3,FN1,84,0.5932,0.6301,1.4,1.767,0.8216,0.8079
vector,3,FN1,89,0.6366,0.6989,1.506,1.81,0.8047,0.7865
vector,3,FN1,86,0.5789,0.6464,1.414,1.511,0.7987,0.7876
vector,3,FN1,87,0.6254,0.6348,1.488,1.592,0.7444,0.7554
vector,3,FN1,49,0.6902,0.7763,1.704,1.793,0.8658,0.8608
vector,3,FN1,69,0.5942,0.7112,1.432,1.57,0.8159,0.7491
vector,3,FN1,93,0.628,0.6859,1.501,1.496,0.7639,0.7445
vector,3,FN1,74,0.5848,0.6838,1.442,1.734,0.8469,0.7852
vector,3,FN1,92,0.6097,0.6224,1.468,1.426,0.7734,0.7688
vector,3,FN1,80,0.5705,0.697,1.421,1.524,0.8425,0.8067
vector,3,FN1,73,0.6079,0.6253,1.409,1.531,0.7796,0.7407
vector,3,FN1,83,0.6181,0.7174,1.525,1.772,0.7732,0.7394
vector,3,FN1,82,0.4988,0.7807,1.178,1.711,0.91,0.8645
vector,3,FN1,24,0.5687,0.7923,1.361,1.852,0.8655,0.8003
vector,3,FN1,95,0.626,0.5951,1.448,1.672,0.7457,0.7532
vector,3,FN1,32,0.5988,0.6768,1.431,1.548,0.8411,0.8272
vector,3,FN1,98,0.6025,0.7373,1.51,1.669,0.7956,0.7457
vector,3,FN1,75,0.6651,0.6769,1.594,1.777,0.6566,0.6496
vector,3,FN1,97,0.5428,0.7014,1.268,1.749,0.8254,0.742
vector,3,FN1,85,0.6052,0.6783,1.465,1.753,0.8407,0.8126
vector,3,NN1,29,0.5686,0.5438,1.338,1.641,0.8165,0.8364
vector,3,NN1,28,0.504,0.6475,1.284,1.714,0.8721,0.8277
vector,3,NN1,27,0.5658,0.6596,1.4,1.707,0.846,0.8241
vector,3,NN1,6,0.5295,0.7597,1.334,1.833,0.7562,0.635
vector,3,NN1,31,0.5609,0.6619,1.377,1.63,0.8087,0.7889
vector,3,NN1,30,0.5625,0.6977,1.377,1.612,0.8867,0.86
vector,3,NN1,13,0.5588,0.6987,1.411,1.495,0.7526,0.6818
vector,3,NN1,4,0.5477,0.6113,1.33,1.449,0.8093,0.7872
vector,3,NN1,10,0.5375,0.6646,1.4,1.571,0.8095,0.7563
vector,3,NN1,26,0.5082,0.7203,1.209,1.693,0.8122,0.7242
vector,3,NN1,17,0.591,0.6901,1.368,1.689,0.7477,0.7068
vector,3,NN1,2,0.4948,0.7171,1.223,1.734,0.8716,0.8199
vector,3,NN1,19,0.5361,0.6744,1.287,1.599,0.8476,0.7912
vector,3,NN1,18,0.5326,0.6493,1.252,1.588,0.7566,0.6904
vector,3,NN1,25,0.5119,0.7934,1.267,1.815,0.9351,0.9052
vector,3,NN1,33,0.5505,0.7353,1.301,1.537,0.8864,0.8303
vector,3,NN1,5,0.5544,0.8345,1.384,1.723,0.8629,0.7887
vector,3,NN1,16,0.5423,0.7433,1.369,1.714,0.8364,0.7806
vector,3,NN1,3,0.5424,0.7163,1.315,1.869,0.7755,0.6931
vector,3,NN1,1,0.576,0.665,1.409,1.708,0.7288,0.6724
vector,3,NN1,36,0.5515,0.7347,1.398,1.632,0.7573,0.6611
vector,3,NN1,35,0.5721,0.7132,1.493,1.563,0.7408,0.6243
vector,3,NN1,8,0.5206,0.7899,1.336,1.75,0.7781,0.6262
vector,3,NN1,7,0.5597,0.588,1.333,1.595,0.88,0.8825
vector,3,NN1,24,0.5483,0.7519,1.312,1.758,0.871,0.8124
vector,3,NN1,21,0.5445,0.7505,1.307,1.87,0.8637,0.8021
vector,3,NN1,14,0.5516,0.7193,1.381,1.734,0.7324,0.6325
vector,3,NN1,9,0.5628,0.6781,1.293,1.828,0.7382,0.6708
vector,3,NN1,20,0.5221,0.6956,1.22,1.831,0.8879,0.8319
vector,3,NN1,22,0.5396,0.7414,1.348,1.568,0.742,0.5877
vector,3,NN1,11,0.532,0.6192,1.246,1.553,0.9107,0.8879
vector,3,NN1,12,0.5342,0.6247,1.298,1.687,0.9069,0.8903
vector,3,NN1,37,0.5524,0.7687,1.42,1.795,0.8477,0.7957
vector,3,NN1,41,0.523,0.7596,1.231,1.955,0.8297,0.7359
vector,3,NN1,40,0.5635,0.6638,1.395,1.67,0.851,0.8244
vector,3,NN1,32,0.5395,0.6782,1.289,1.551,0.8581,0.8295
vector,3,NN1,34,0.5457,0.6105,1.258,1.71,0.7807,0.732
vector,3,NN1,38,0.52,0.6325,1.18,1.809,0.8365,0.8006
vector,3,NN1,15,0.6012,0.6668,1.438,1.698,0.8421,0.8225
vector,3,NN1,44,0.569,0.6471,1.34,1.624,0.8188,0.781
vector,3,NN1,43,0.5675,0.6972,1.316,1.575,0.7771,0.7438
vector,3,NN1,45,0.6046,0.709,1.436,1.686,0.7535,0.7145
vector,3,NN1,42,0.615,0.6795,1.313,1.632,0.8039,0.7933
vector,3,NN1,23,0.574,0.6799,1.409,1.79,0.7779,0.6966
vector,3,NN1,39,0.5717,0.6398,1.37,1.601,0.7623,0.7342
vector,3,NN1,47,0.5633,0.766,1.309,1.707,0.8844,0.8335
vector,3,NN1,46,0.5045,0.8108,1.249,1.777,0.8839,0.7627
vector,3,NN1,55,0.558,0.5802,1.355,1.592,0.7523,0.7304
vector,3,NN1,53,0.5592,0.6818,1.382,1.553,0.7871,0.7115
vector,3,NN1,50,0.5123,0.7502,1.227,1.64,0.8516,0.8026
vector,3,NN1,62,0.5505,0.5909,1.313,1.849,0.7853,0.7667
vector,3,NN1,56,0.5778,0.7524,1.353,1.582,0.8454,0.7694
vector,3,NN1,49,0.5605,0.788,1.384,1.82,0.8947,0.858
vector,3,NN1,48,0.5551,0.6599,1.31,1.679,0.8319,0.7599
vector,3,NN1,70,0.5447,0.7314,1.292,1.586,0.7133,0.5983
vector,3,NN1,51,0.5533,0.8723,1.426,1.506,0.8603,0.7553
vector,3,NN1,57,0.5438,0.8442,1.402,1.718,0.863,0.7616
vector,3,NN1,76,0.5523,0.6378,1.376,1.618,0.7361,0.6671
vector,3,NN1,75,0.579,0.6469,1.388,1.698,0.7154,0.6592
vector,3,NN1,74,0.527,0.7378,1.299,1.871,0.8628,0.7678
vector,3,NN1,54,0.5726,0.6603,1.321,1.757,0.7876,0.7563
vector,3,NN1,65,0.5302,0.5864,1.322,1.579,0.763,0.7343
vector,3,NN1,58,0.5532,0.6212,1.3,1.622,0.873,0.8519
vector,3,NN1,64,0.5202,0.7197,1.268,1.733,0.8038,0.6982
vector,3,NN1,60,0.5342,0.8527,1.361,1.736,0.7275,0.5304
vector,3,NN1,77,0.5195,0.7026,1.215,1.738,0.8446,0.7638
vector,3,NN1,68,0.5582,0.7044,1.308,1.733,0.8508,0.8004
vector,3,NN1,61,0.5218,0.745,1.32,1.743,0.8123,0.7257
vector,3,NN1,59,0.5518,0.7143,1.392,1.606,0.8289,0.7901
vector,3,NN1,72,0.584,0.7114,1.386,1.751,0.8199,0.7696
vector,3,NN1,78,0.5494,0.7178,1.304,1.582,0.801,0.6642
vector,3,NN1,63,0.4939,0.7624,1.231,1.684,0.8449,0.7651
vector,3,NN1,69,0.5379,0.7233,1.296,1.597,0.8351,0.7474
vector,3,NN1,79,0.5417,0.6186,1.302,1.648,0.7249,0.6574
vector,3,NN1,73,0.5901,0.6264,1.368,1.533,0.7884,0.7402
vector,3,NN1,66,0.565,0.6606,1.301,1.545,0.8782,0.851
vector,3,NN1,95,0.5363,0.6103,1.24,1.714,0.7908,0.7454
vector,3,NN1,67,0.5627,0.7555,1.408,1.729,0.8045,0.7104
vector,3,NN1,90,0.5749,0.6365,1.389,1.417,0.7823,0.7511
vector,3,NN1,52,0.4968,0.7198,1.278,1.637,0.8644,0.7917
vector,3,NN1,92,0.5624,0.6598,1.354,1.511,0.8036,0.7555
vector,3,NN1,84,0.578,0.6627,1.364,1.859,0.8307,0.8012
vector,3,NN1,80,0.5203,0.7311,1.296,1.599,0.8577,0.801
vector,3,NN1,83,0.4802,0.7416,1.185,1.832,0.8379,0.7303
vector,3,NN1,88,0.5172,0.6787,1.21,1.785,0.8071,0.7383
vector,3,NN1,71,0.5721,0.667,1.374,1.88,0.7865,0.7039
vector,3,NN1,85,0.5196,0.6817,1.258,1.762,0.8667,0.8114
vector,3,NN1,87,0.5883,0.7012,1.399,1.758,0.7614,0.7245
vector,3,NN1,94,0.5477,0.681,1.33,1.693,0.819,0.7309
vector,3,NN1,93,0.5988,0.6828,1.431,1.489,0.7825,0.7471
vector,3,NN1,86,0.517,0.6451,1.263,1.508,0.8224,0.7899
vector,3,NN1,89,0.5368,0.7065,1.27,1.83,0.8371,0.7777
vector,3,NN1,100,0.5279,0.6759,1.251,1.733,0.799,0.7156
vector,3,NN1,82,0.5843,0.7297,1.38,1.599,0.8927,0.8745
vector,3,NN1,91,0.5569,0.7133,1.358,1.757,0.8162,0.7571
vector,3,NN1,99,0.5802,0.5884,1.399,1.582,0.8822,0.8752
vector,3,NN1,96,0.521,0.7526,1.308,1.706,0.883,0.8094
vector,3,NN1,98,0.5241,0.7849,1.313,1.777,0.8344,0.7228
vector,3,NN1,81,0.5353,0.5988,1.223,1.527,0.7343,0.7013
vector,3,NN1,97,0.5304,0.6779,1.238,1.691,0.8271,0.7512
matrix,1,FLM1,1,0.3466,0.4218,1.442,1.633,0.9321,0.9216
matrix,1,FLM1,5,0.3956,0.5953,0.7929,0.7045,0.9475,0.9419
matrix,1,FLM1,2,0.4046,0.4739,0.726,0.8706,0.9451,0.94
matrix,1,FLM1,4,0.2431,0.3321,0.3533,0.3701,0.9336,0.92
matrix,1,FLM1,3,0.2947,0.3112,0.2105,0.2832,0.9239,0.9235
matrix,1,FLM1,10,0.2167,0.1961,0.6616,0.5895,0.9201,0.9246
matrix,1,FLM1,18,0.4128,0.3693,0.6578,0.7346,0.9464,0.9484
matrix,1,FLM1,15,0.3394,0.4019,0.6396,0.8259,0.9559,0.9438
matrix,1,FLM1,16,0.4437,0.4443,0.4794,0.4095,0.936,0.9476
matrix,1,FLM1,12,0.4987,0.4596,0.4079,0.4823,0.9479,0.9472
matrix,1,FLM1,11,0.4922,0.4657,2.101,2.242,0.9374,0.9345
matrix,1,FLM1,17,0.2116,0.2064,0.2674,0.2871,0.938,0.9394
matrix,1,FLM1,14,0.1858,0.2011,1.942,2.134,0.9406,0.9403
matrix,1,FLM1,19,0.3822,0.4838,0.2491,0.2668,0.9269,0.8984
matrix,1,FLM1,13,0.1896,0.2347,0.7822,0.7189,0.9535,0.9509
matrix,1,FLM1,9,0.1601,0.1647,0.4161,0.5364,0.9661,0.964
matrix,1,FLM1,8,0.3621,0.4369,0.2211,0.2616,0.9274,0.9132
matrix,1,FLM1,6,0.2502,0.2846,0.444,0.4303,0.9394,0.9319
matrix,1,FLM1,7,0.549,0.4835,3.171,3.586,0.9678,0.9715
matrix,1,FLM1,35,0.2148,0.252,0.1723,0.18,0.938,0.9135
matrix,1,FLM1,62,0.2855,0.2582,0.2871,0.4112,0.9237,0.9295
matrix,1,FLM1,57,0.5479,0.5441,0.9802,0.7253,0.8918,0.8835
matrix,1,FLM1,37,0.3624,0.4897,0.5184,0.4935,0.9224,0.9207
matrix,1,FLM1,33,0.3251,0.5038,0.4663,0.4727,0.9325,0.906
matrix,1,FLM1,27,0.2615,0.2599,0.1994,0.2271,0.9507,0.9501
matrix,1,FLM1,42,0.3494,0.4256,0.3899,0.5786,0.9313,0.9142
matrix,1,FLM1,31,0.2557,0.2632,0.5584,0.6332,0.9249,0.9271
matrix,1,FLM1,51,0.3862,0.8166,0.4624,0.3718,0.8929,0.8533
matrix,1,FLM1,66,0.4069,0.3969,0.6109,0.6386,0.9351,0.9371
matrix,1,FLM1,56,0.1792,0.3515,0.314,0.4037,0.952,0.8947
matrix,1,FLM1,67,0.3988,0.5328,0.663,0.643,0.941,0.9338
matrix,1,FLM1,68,0.3261,0.2972,0.5374,0.5797,0.9412,0.9433
matrix,1,FLM1,29,0.4064,0.346,0.6212,0.7234,0.9422,0.9506
matrix,1,FLM1,28,0.3898,0.4017,0.3283,0.3638,0.915,0.914
matrix,1,FLM1,64,0.2182,0.3064,0.2526,0.2888,0.9619,0.9562
matrix,1,FLM1,65,0.3315,0.331,0.3671,0.4153,0.8859,0.8858
matrix,1,FLM1,39,0.4735,0.4946,0.4593,0.5497,0.9194,0.914
matrix,1,FLM1,63,0.3935,0.5237,0.4215,0.4553,0.9584,0.9518
matrix,1,FLM1,69,0.2544,0.2936,0.9513,1.214,0.939,0.9202
matrix,1,FLM1,40,0.2357,0.257,1.29,1.311,0.9536,0.9523
matrix,1,FLM1,52,0.4615,0.5299,1.022,1.062,0.9243,0.9065
matrix,1,FLM1,58,0.4093,0.4182,0.4807,0.5857,0.9395,0.9371
matrix,1,FLM1,54,0.4143,0.4505,2.01,2.915,0.9295,0.9172
matrix,1,FLM1,53,0.2506,0.3432,0.2233,0.2667,0.941,0.9168
matrix,1,FLM1,49,0.6014,0.711,0.8492,0.6509,0.943,0.9513
matrix,1,FLM1,59,0.2369,0.2951,0.1947,0.2231,0.943,0.9312
matrix,1,FLM1,50,0.2796,0.3622,1.255,1.439,0.9656,0.9635
matrix,1,FLM1,60,0.2424,0.2851,0.3952,0.3252,0.9411,0.9425
matrix,1,FLM1,22,0.216,0.2397,0.407,0.3198,0.9481,0.9436
matrix,1,FLM1,21,0.3618,0.5016,0.5351,0.7048,0.9554,0.9387
matrix,1,FLM1,34,0.29,0.2796,0.3629,0.4354,0.93,0.9275
matrix,1,FLM1,24,0.3809,0.4129,0.5739,0.5642,0.9389,0.9387
matrix,1,FLM1,25,0.3595,0.3863,0.9807,0.9229,0.9285,0.9223
matrix,1,FLM1,45,0.3831,0.8692,0.4554,0.8683,0.9232,0.8227
matrix,1,FLM1,44,0.5142,0.5996,1.162,1.204,0.9474,0.9431
matrix,1,FLM1,20,0.3597,0.3624,0.2874,0.328,0.9492,0.9463
matrix,1,FLM1,47,0.3379,0.4395,0.3517,0.344,0.9254,0.9122
matrix,1,FLM1,46,0.3528,0.385,0.4424,0.4637,0.9494,0.9415
matrix,1,FLM1,48,0.3298,0.4167,0.5557,0.7316,0.9439,0.9215
matrix,1,FLM1,38,0.2774,0.2827,0.724,0.9336,0.9446,0.9422
matrix,1,FLM1,41,0.4519,0.512,0.409,0.434,0.9376,0.9327
matrix,1,FLM1,30,0.4088,0.486,1.169,1.115,0.9126,0.8971
matrix,1,FLM1,36,0.3219,0.4093,0.2515,0.2729,0.9183,0.8975
matrix,1,FLM1,26,0.3589,0.3741,0.7665,0.7876,0.9516,0.949
matrix,1,FLM1,32,0.4891,0.627,0.6472,0.8161,0.9539,0.9412
matrix,1,FLM1,23,0.4942,0.4794,0.6477,0.6894,0.9398,0.938
matrix,1,FLM1,43,0.3444,0.3323,0.3313,0.4337,0.9415,0.9427
matrix,1,FLM1,55,0.2678,0.2373,0.2449,0.3061,0.9229,0.9293
matrix,1,FLM1,61,0.3475,0.3425,0.2563,0.2615,0.9308,0.9273
matrix,1,FLM1,86,0.3419,0.3461,0.148,0.1556,0.8695,0.8683
matrix,1,FLM1,91,0.3158,0.3184,0.395,0.4295,0.9314,0.9305
matrix,1,FLM1,92,0.3188,0.314,0.2282,0.2652,0.9183,0.9145
matrix,1,FLM1,85,0.3043,0.3328,0.3498,0.4038,0.9523,0.9429
matrix,1,FLM1,93,0.3553,0.4319,1.273,1.425,0.9382,0.9326
matrix,1,FLM1,99,0.4655,0.5404,0.5427,0.774,0.9235,0.9074
matrix,1,FLM1,100,0.2954,0.3506,0.4608,0.6219,0.9276,0.9216
matrix,1,FLM1,95,0.2406,0.239,0.4326,0.5909,0.9371,0.9352
matrix,1,FLM1,96,0.4061,0.5274,0.6014,0.5642,0.927,0.9144
matrix,1,FLM1,87,0.2168,0.2407,0.2616,0.3159,0.9523,0.9502
matrix,1,FLM1,89,0.3442,0.3965,0.4491,0.5357,0.9424,0.934
matrix,1,FLM1,88,0.2342,0.2446,0.4784,0.6278,0.9539,0.9491
matrix,1,FLM1,98,0.359,0.3978,0.8106,0.6249,0.9383,0.9465
matrix,1,FLM1,90,0.197,0.2451,0.3524,0.4271,0.9505,0.9371
matrix,1,FLM1,94,0.4588,0.5523,0.3893,0.4157,0.922,0.9038
matrix,1,FLM1,80,0.2412,0.3428,0.7413,0.5585,0.9341,0.9277
matrix,1,FLM1,97,0.3562,0.3914,0.5004,0.5447,0.953,0.9461
matrix,1,FLM1,75,0.2412,0.2475,0.3475,0.3998,0.9322,0.937
matrix,1,FLM1,77,0.3262,0.334,0.3045,0.3664,0.9272,0.9281
matrix,1,FLM1,78,0.2263,0.2617,1.689,1.318,0.955,0.9413
matrix,1,FLM1,79,0.2733,0.2307,0.608,0.6317,0.9065,0.9177
matrix,1,FLM1,76,0.193,0.1708,0.52,0.4985,0.9399,0.945
matrix,1,FLM1,84,0.4512,0.493,0.4022,0.5528,0.913,0.9025
matrix,1,FLM1,83,0.4008,0.5116,0.5865,0.7147,0.9616,0.9557
matrix,1,FLM1,74,0.4627,0.6224,0.5459,0.6056,0.9455,0.9295
matrix,1,FLM1,73,0.2746,0.3122,0.5033,0.6802,0.9438,0.9176
matrix,1,FLM1,82,0.4791,0.4612,1.549,1.597,0.9449,0.9448
matrix,1,FLM1,81,0.1973,0.2239,0.3253,0.3647,0.9648,0.961
matrix,1,FLM1,71,0.2251,0.2648,0.251,0.3198,0.9412,0.9192
matrix,1,FLM1,70,0.3024,0.3816,0.2912,0.3354,0.9474,0.9431
matrix,1,FLM1,72,0.5125,0.5327,0.5929,0.6458,0.9183,0.9116
matrix,1,FN1,18,0.08784,0.1628,0.14,0.3239,0.9904,0.9787
matrix,1,FN1,9,0.05656,0.1124,0.147,0.3662,0.9883,0.9755
matrix,1,FN1,4,0.07369,0.1648,0.1071,0.1837,0.9813,0.9639
matrix,1,FN1,3,0.1552,0.1635,0.1109,0.1488,0.9639,0.9626
matrix,1,FN1,11,0.03406,0.05199,0.1454,0.2502,0.9961,0.9931
matrix,1,FN1,8,0.1861,0.2454,0.1136,0.1469,0.9655,0.9546
matrix,1,FN1,13,0.03771,0.07974,0.1556,0.2442,0.991,0.9833
matrix,1,FN1,6,0.0638,0.1323,0.1132,0.2,0.9857,0.9696
matrix,1,FN1,1,0.03408,0.06643,0.1418,0.2572,0.9944,0.9883
matrix,1,FN1,19,0.1582,0.2497,0.1031,0.1377,0.9705,0.9484
matrix,1,FN1,10,0.03293,0.05011,0.1005,0.1507,0.9883,0.9813
matrix,1,FN1,17,0.08142,0.08947,0.1029,0.1245,0.9769,0.9744
matrix,1,FN1,34,0.107,0.1351,0.1339,0.2104,0.9773,0.97
matrix,1,FN1,16,0.1028,0.1889,0.1111,0.1741,0.9858,0.9775
matrix,1,FN1,5,0.06305,0.2244,0.1264,0.2656,0.9924,0.9791
matrix,1,FN1,15,0.07426,0.1219,0.1399,0.2505,0.9919,0.9847
matrix,1,FN1,14,0.01459,0.02161,0.1525,0.2292,0.9958,0.9941
matrix,1,FN1,7,0.03526,0.03938,0.2036,0.2921,0.9984,0.9979
matrix,1,FN1,2,0.07328,0.1826,0.1315,0.3354,0.9903,0.9773
matrix,1,FN1,33,0.08379,0.1604,0.1202,0.1505,0.9833,0.9694
matrix,1,FN1,40,0.02712,0.09568,0.1485,0.4881,0.9952,0.9826
matrix,1,FN1,12,0.1326,0.149,0.1084,0.1564,0.987,0.9834
matrix,1,FN1,39,0.1149,0.1965,0.1115,0.2184,0.9819,0.967
matrix,1,FN1,41,0.1197,0.2275,0.1084,0.1928,0.984,0.9708
matrix,1,FN1,35,0.1349,0.1749,0.1082,0.1249,0.9644,0.9431
matrix,1,FN1,21,0.08558,0.2033,0.1266,0.2857,0.9898,0.976
matrix,1,FN1,27,0.1467,0.1912,0.1119,0.1671,0.9748,0.9667
matrix,1,FN1,30,0.04255,0.09772,0.1216,0.2242,0.9917,0.9802
matrix,1,FN1,23,0.09594,0.137,0.1258,0.197,0.9891,0.9827
matrix,1,FN1,22,0.06249,0.1304,0.1177,0.1739,0.9853,0.9694
matrix,1,FN1,37,0.07962,0.1815,0.1139,0.183,0.984,0.9703
matrix,1,FN1,36,0.1369,0.1815,0.1069,0.121,0.9675,0.9566
matrix,1,FN1,32,0.09302,0.132,0.1231,0.1718,0.9922,0.989
matrix,1,FN1,24,0.08243,0.1891,0.1242,0.2584,0.9875,0.9731
matrix,1,FN1,31,0.05088,0.05307,0.1111,0.1277,0.9858,0.986
matrix,1,FN1,38,0.07428,0.1173,0.1938,0.3875,0.9863,0.9775
matrix,1,FN1,42,0.1101,0.1424,0.1229,0.1936,0.9806,0.9739
matrix,1,FN1,26,0.06467,0.1367,0.1381,0.2878,0.9917,0.9819
matrix,1,FN1,25,0.05226,0.1578,0.1426,0.3769,0.9905,0.9699
matrix,1,FN1,29,0.0864,0.09511,0.1321,0.1988,0.9884,0.9866
matrix,1,FN1,79,0.04672,0.04962,0.1039,0.1359,0.9851,0.9829
matrix,1,FN1,55,0.1167,0.105,0.1068,0.1355,0.9677,0.9678
matrix,1,FN1,71,0.1029,0.1437,0.1147,0.1736,0.9756,0.96
matrix,1,FN1,56,0.06135,0.1156,0.1075,0.1328,0.9839,0.9656
matrix,1,FN1,68,0.07242,0.1222,0.1193,0.2385,0.9878,0.9774
matrix,1,FN1,86,0.2509,0.2601,0.1086,0.1169,0.9093,0.9056
matrix,1,FN1,28,0.1219,0.2114,0.1026,0.1915,0.9748,0.9562
matrix,1,FN1,82,0.06307,0.1001,0.2039,0.3467,0.993,0.9883
matrix,1,FN1,48,0.0839,0.09742,0.1414,0.1711,0.9867,0.9831
matrix,1,FN1,52,0.05516,0.1319,0.1222,0.2643,0.9914,0.9767
matrix,1,FN1,90,0.06404,0.07161,0.1146,0.1248,0.9845,0.982
matrix,1,FN1,65,0.08967,0.09624,0.09931,0.1208,0.9705,0.9681
matrix,1,FN1,62,0.1078,0.1051,0.1084,0.1674,0.9724,0.9703
matrix,1,FN1,77,0.1133,0.216,0.1057,0.237,0.9763,0.955
matrix,1,FN1,20,0.1525,0.2319,0.1219,0.2099,0.9801,0.9695
matrix,1,FN1,53,0.123,0.1757,0.1096,0.1365,0.9726,0.9582
matrix,1,FN1,59,0.13,0.1827,0.1069,0.1381,0.9711,0.9601
matrix,1,FN1,88,0.05996,0.1458,0.1225,0.3742,0.9886,0.9718
matrix,1,FN1,64,0.1142,0.2621,0.1322,0.2471,0.9803,0.9627
matrix,1,FN1,89,0.1479,0.2138,0.193,0.2888,0.9782,0.9668
matrix,1,FN1,75,0.0746,0.09206,0.1075,0.1487,0.9796,0.9767
matrix,1,FN1,91,0.09247,0.1396,0.1157,0.1883,0.9808,0.9706
matrix,1,FN1,47,0.1221,0.2319,0.1271,0.1815,0.9744,0.9538
